,churn,suceessful,revenue,covid_cases_zip,reviews_per_month,review_scores_rating,number_of_reviews_ltm,number_of_reviews,calculated_host_listings_count,calculated_host_listings_count_entire_homes,host_response_time,host_response_rate,host_acceptance_rate,cleaning_fee,maximum_minimum_nights,minimum_nights_avg_ntm,availability_365,review_scores_checkin
5710,0,0,3240,3.0,0.23,100.0,2,2,2,0,1.0,96.78595,92.11035,10.0,30.0,30.0,0,9.0
5711,0,1,6408,34.0,2.56,99.0,29,29,1,1,4.0,100.0,96.38850833333333,20.0,1.0,1.0,336,10.0
5712,0,4,31050,5.0,2.45,96.4,25,25,15,15,4.0,99.4,98.86621,80.0,3.0,3.0,90,10.0
5713,0,2,15555,35.0,1.49,91.2,14,14,1,1,4.0,100.0,100.0,125.0,3.2,2.4,255,9.0
5714,0,2,7800,24.0,1.6,98.66666666666667,18,18,2,2,4.0,100.0,99.055175,125.0,1.0,1.0,354,10.0
5715,0,0,3040,34.0,2.79,96.66666666666667,29,29,2,1,3.5,99.46432499999999,82.88850833333333,17.0,1.0,1.0,89,10.0
5716,0,1,5775,35.0,2.74,94.33333333333333,22,22,1,1,3.8333333333333335,100.0,81.88850833333333,25.0,1.3333333333333333,1.0,89,10.0
5717,0,0,387,0.0,1.2,88.0,5,5,1,1,4.0,100.0,94.33105,90.0,30.0,30.0,323,10.0
5718,0,0,5920,35.0,2.73,100.0,27,27,1,0,4.0,100.0,98.055175,0.0,3.0,2.1166666666666667,0,10.0
5719,0,4,23681,46.0,0.72,100.0,4,4,1,1,4.0,100.0,99.055175,150.0,2.0,2.0,242,10.0
5720,0,0,7334,35.0,1.53,95.33333333333333,17,17,112,111,3.8333333333333335,97.0,98.22184166666666,111.0,2.0,2.0,282,10.0
5721,0,0,7089,35.0,3.19,97.83333333333333,36,36,1,1,3.8333333333333335,100.0,99.055175,125.0,2.6666666666666665,1.2166666666666668,180,10.0
5722,0,0,2080,34.0,0.71,94.16666666666667,8,8,1,1,3.5,99.46432499999999,99.055175,90.95796,1.0,1.0,365,10.0
5723,0,1,7410,22.0,3.4,95.8,36,36,1,1,4.0,92.0,98.86621,75.0,1.2,1.2,355,10.0
5724,0,3,14440,5.0,0.17,100.0,1,1,1,1,2.5,96.66666666666667,84.555175,90.95796,60.0,60.0,149,10.0
5725,1,4,26775,23.0,0.18,90.0,2,2,5,2,4.0,100.0,91.4,170.0,7.6,7.6,0,10.0
5726,0,6,49500,23.0,3.17,96.66666666666667,33,33,3,3,4.0,100.0,99.055175,175.0,3.0,2.7999999999999994,219,10.0
5727,0,1,6853,24.0,4.05,98.0,46,46,1,1,4.0,100.0,99.055175,70.0,3.6666666666666665,2.8333333333333335,83,10.0
5728,0,0,3900,35.0,3.55,98.16666666666667,41,41,1,0,3.8333333333333335,100.0,95.88850833333333,15.0,2.0,2.0,172,10.0
5729,0,4,13000,46.0,3.67,100.0,38,38,1,1,4.0,100.0,99.055175,120.0,3.3333333333333335,2.3666666666666667,67,10.0
5730,0,1,10746,35.0,0.19,80.0,1,1,5,5,3.6666666666666665,95.0,99.055175,100.0,2.0,2.0,0,10.0
5731,0,0,2600,35.0,2.04,97.33333333333333,23,23,2,2,4.0,100.0,98.38850833333333,75.0,12.0,12.0,90,10.0
5732,0,1,8600,46.0,0.94,97.66666666666667,8,8,1,1,3.5,99.46432499999999,92.22184166666666,75.0,1.8333333333333333,1.8333333333333333,90,10.0
5733,0,3,8856,72.0,3.36,98.33333333333333,38,38,2,2,4.0,98.33333333333333,91.38850833333333,30.0,1.8333333333333333,1.8333333333333333,88,10.0
5734,0,1,7480,34.0,2.39,94.0,27,27,1,1,3.8333333333333335,98.33333333333333,99.055175,100.0,2.0,2.0,84,9.0
5735,0,4,60200,34.0,0.96,98.16666666666667,11,11,4,4,4.0,100.0,96.88850833333333,220.0,30.0,4.1499999999999995,359,10.0
5736,0,5,62620,35.0,0.75,100.0,8,8,8,8,4.0,100.0,97.22184166666666,120.0,30.0,4.783333333333334,247,10.0
5737,1,3,24180,35.0,0.9,98.8,9,9,4,4,4.0,100.0,97.86621,120.0,30.0,3.56,353,10.0
5738,0,3,11250,34.0,2.45,92.0,27,27,1,1,2.0,97.85730000000001,99.055175,45.0,30.0,30.0,365,10.0
5739,0,4,30120,53.0,1.62,98.8,16,16,43,43,3.6,92.8,98.46621,207.0,3.0,2.1,326,10.0
5740,0,3,19500,34.0,1.42,91.6,15,15,1,1,3.8,100.0,100.0,185.0,3.0,2.4,0,10.0
5741,0,1,10000,35.0,2.25,98.0,18,18,1,1,4.0,100.0,99.055175,100.0,3.0,2.966666666666667,83,10.0
5742,0,1,5600,23.0,0.55,100.0,5,5,3,1,4.0,100.0,79.555175,100.0,3.0,3.0,89,10.0
5743,0,2,12300,23.0,0.53,91.66666666666667,6,6,1,1,4.0,96.66666666666667,99.055175,125.0,2.0,2.0,219,9.0
5744,0,1,7068,5.0,1.64,88.66666666666667,14,14,180,179,3.6666666666666665,99.0,97.44368333333334,111.0,2.0,2.0,0,9.0
5745,0,0,1694,59.0,0.13,80.0,1,1,3,3,3.5,99.46432499999999,99.055175,160.0,2.0,2.0,89,10.0
5746,0,0,6125,35.0,3.26,99.33333333333333,37,37,2,0,4.0,100.0,98.88850833333333,20.0,2.0,2.0,77,10.0
5747,0,3,13952,5.0,5.74,97.33333333333333,61,61,2,2,4.0,95.16666666666667,99.055175,79.0,7.5,5.900000000000001,192,10.0
5748,0,1,9100,34.0,3.6,99.0,35,35,1,1,4.0,100.0,99.055175,70.0,2.0,2.0,300,10.0
5749,0,0,1656,8.0,3.55,88.33333333333333,25,25,1,1,4.0,100.0,89.77701666666667,126.0,2.0,2.0,155,10.0
